datetime,num_train_running,num_train_operational,num_dalian_train_running,num_dalian_train_operational,headway
2018-07-01 19:00:00,12,13.0,0.0,0,8.5
2018-07-02 05:00:00,8,8.0,0.0,0,8.0
2018-07-03 05:00:00,7,7.0,0.0,0,8.0
2018-07-02 18:00:00,15,15.0,0.0,0,7.0
2018-07-04 05:00:00,9,9.0,0.0,0,8.0
2018-07-03 20:00:00,14,14.0,0.0,0,7.5
2018-07-05 06:00:00,14,14.0,0.0,0,7.5
2018-07-05 05:00:00,8,8.0,0.0,0,8.0
2018-07-06 07:00:00,15,15.0,0.0,0,7.0
2018-07-06 05:00:00,8,8.0,0.0,0,8.0
2018-07-06 21:00:00,15,16.0,0.0,0,7.0
2018-07-07 06:00:00,12,13.0,0.0,0,8.5
2018-07-07 17:00:00,12,14.0,0.0,0,8.5
2018-07-08 17:00:00,12,14.0,0.0,0,8.5
2018-07-09 05:00:00,8,8.0,0.0,0,8.0
2018-07-09 20:00:00,15,16.0,0.0,0,7.0
2018-07-10 13:00:00,15,16.0,0.0,0,7.0
2018-07-11 05:00:00,7,7.0,0.0,0,8.0
2018-07-11 20:00:00,15,15.0,0.0,0,7.0
2018-07-12 05:00:00,9,9.0,0.0,0,8.0
2018-07-12 11:00:00,15,16.0,0.0,0,7.0
2018-07-13 05:00:00,8,8.0,0.0,0,8.0
2018-07-13 19:00:00,15,16.0,0.0,0,7.0
2018-07-14 16:00:00,12,15.0,0.0,0,8.5
2018-07-16 06:00:00,15,15.0,0.0,0,7.0
2018-07-16 05:00:00,9,9.0,0.0,0,8.0
2018-07-16 20:00:00,15,16.0,0.0,0,7.0
2018-07-17 05:00:00,8,8.0,0.0,0,8.0
2018-07-17 18:00:00,15,16.0,0.0,0,8.0
2018-07-18 05:00:00,8,8.0,0.0,0,8.0
2018-07-18 08:00:00,15,15.0,0.0,0,7.0
2018-07-19 05:00:00,9,9.0,0.0,0,8.0
2018-07-20 06:00:00,15,15.0,0.0,0,7.0
2018-07-20 05:00:00,8,8.0,0.0,0,8.0
2018-07-20 08:00:00,15,15.0,0.0,0,7.0
2018-07-21 17:00:00,12,13.0,0.0,0,8.5
2018-07-22 05:00:00,8,8.0,0.0,0,9.0
2018-07-23 05:00:00,8,8.0,0.0,0,8.0
2018-07-23 06:00:00,15,15.0,0.0,0,7.0
2018-07-23 17:00:00,15,16.0,0.0,0,7.0
2018-07-24 06:00:00,15,15.0,0.0,0,7.0
2018-07-24 20:00:00,15,16.0,0.0,0,7.0
2018-07-25 05:00:00,9,9.0,0.0,0,7.0
2018-07-25 19:00:00,15,16.0,0.0,0,7.0
2018-07-26 06:00:00,15,15.0,0.0,0,7.0
2018-07-26 18:00:00,15,15.0,0.0,0,7.0
2018-07-27 05:00:00,7,9.0,0.0,0,7.5
2018-07-28 07:00:00,12,12.0,0.0,0,8.5
2018-07-29 05:00:00,6,6.0,0.0,0,9.0
2018-07-29 07:00:00,12,13.0,0.0,0,8.5
2018-07-30 05:00:00,10,11.0,0.0,0,7.0
2018-07-29 18:00:00,12,13.0,0.0,0,8.5
2018-07-30 13:00:00,15,15.0,0.0,0,7.0
2018-07-31 05:00:00,9,10.0,0.0,0,7.0
2018-07-31 19:00:00,15,15.0,0.0,0,7.0
2018-08-01 07:00:00,15,16.0,0.0,0,7.0
2018-08-01 05:00:00,15,15.0,0.0,0,7.0
2018-08-01 14:00:00,15,16.0,0.0,0,7.0
2018-08-02 06:00:00,14,15.0,0.0,0,7.0
2018-08-02 13:00:00,15,16.0,0.0,0,7.0
2018-08-03 09:00:00,15,15.0,0.0,0,7.0
2018-08-06 06:00:00,14,14.0,0.0,0,7.5
2018-08-06 05:00:00,9,9.0,0.0,0,7.0
2018-08-07 06:00:00,15,15.0,0.0,0,7.0
2018-08-06 13:00:00,15,15.0,0.0,0,7.0
2018-08-07 12:00:00,15,16.0,0.0,0,7.0
2018-08-08 06:00:00,14,14.0,0.0,0,7.5
2018-08-08 05:00:00,8,9.0,0.0,0,7.0
2018-08-08 20:00:00,15,15.0,0.0,0,7.0
2018-08-09 06:00:00,15,15.0,0.0,0,7.0
2018-08-09 19:00:00,15,16.0,0.0,0,7.0
2018-08-11 12:00:00,12,13.0,0.0,0,8.5
2018-08-11 09:00:00,12,13.0,0.0,0,8.5
2018-08-13 06:00:00,14,14.0,0.0,0,7.5
2018-08-13 07:00:00,14,15.0,0.0,0,7.5
2018-08-13 17:00:00,15,16.0,0.0,0,7.0
2018-08-13 09:00:00,14,14.0,0.0,0,7.5
2018-08-14 06:00:00,13,13.0,0.0,0,8.0
2018-08-14 07:00:00,15,15.0,0.0,0,7.0
2018-08-14 08:00:00,15,15.0,0.0,0,7.0
2018-08-15 18:00:00,15,16.0,0.0,0,7.0
2018-08-16 06:00:00,14,14.0,0.0,0,7.0
2018-08-16 08:00:00,15,15.0,0.0,0,7.0
2018-08-16 16:00:00,15,15.0,0.0,0,7.0
2018-08-17 13:00:00,14,14.0,0.0,0,7.5
2018-08-18 10:00:00,12,14.0,0.0,0,9.0
2018-08-19 07:00:00,12,14.0,0.0,0,9.0
2018-08-19 19:00:00,12,14.0,0.0,0,9.0
2018-08-20 19:00:00,15,15.0,0.0,0,8.0
2018-08-22 05:00:00,12,14.0,0.0,0,8.5
2018-08-21 10:00:00,12,14.0,0.0,0,8.5
2018-08-23 07:00:00,15,15.0,0.0,0,7.5
2018-08-23 05:00:00,8,8.0,0.0,0,9.5
2018-08-24 05:00:00,15,16.0,0.0,0,7.0
2018-08-24 13:00:00,15,16.0,0.0,0,7.0
2018-08-26 07:00:00,12,14.0,0.0,0,8.5
2018-08-27 07:00:00,12,13.0,0.0,0,8.5
2018-08-27 10:00:00,12,13.0,0.0,0,8.5
2018-08-29 06:00:00,14,14.0,0.0,0,7.5
2018-08-30 06:00:00,15,16.0,0.0,0,7.0
2018-08-29 11:00:00,15,15.0,0.0,0,7.0
2018-08-30 20:00:00,15,16.0,0.0,0,7.0
2018-08-31 18:00:00,14,14.0,0.0,0,7.0
2018-09-01 07:00:00,12,12.0,0.0,0,8.5
2018-09-01 15:00:00,12,13.0,0.0,0,8.5
2018-09-02 09:00:00,12,13.0,0.0,0,8.5
2018-09-04 06:00:00,15,15.0,0.0,0,7.0
2018-09-04 19:00:00,15,16.0,0.0,0,7.0
2018-09-10 07:00:00,15,15.0,0.0,0,7.0
2018-09-10 18:00:00,15,15.0,0.0,0,7.0
2018-09-12 06:00:00,15,15.0,0.0,0,7.0
2018-09-12 08:00:00,15,15.0,0.0,0,7.0
2018-09-12 12:00:00,15,15.0,0.0,0,7.0
2018-09-13 16:00:00,15,15.0,0.0,0,7.0
2018-09-13 19:00:00,15,16.0,0.0,0,7.0
2018-09-15 06:00:00,10,11.0,0.0,0,9.0
2018-09-15 08:00:00,12,13.0,0.0,0,8.5
2018-09-16 08:00:00,12,13.0,0.0,0,8.5
2018-09-16 12:00:00,12,13.0,0.0,0,8.5
2018-09-18 05:00:00,9,9.0,0.0,0,8.0
2018-09-17 15:00:00,15,15.0,0.0,0,7.0
2018-09-18 20:00:00,15,16.0,0.0,0,7.0
2018-09-19 05:00:00,9,9.0,0.0,0,8.0
2018-09-19 18:00:00,15,16.0,0.0,0,7.0
2018-09-20 09:00:00,16,16.0,0.0,0,7.0
2018-09-20 08:00:00,16,16.0,0.0,0,7.0
2018-09-21 13:00:00,15,15.0,0.0,0,7.0
2018-09-21 16:00:00,15,15.0,0.0,0,7.0
2018-07-22 06:00:00,11,11.0,0.0,0,9.0
2018-09-24 06:00:00,10,10.0,0.0,0,8.5
2018-09-26 06:00:00,14,14.0,0.0,0,7.0
2018-09-26 07:00:00,15,15.0,0.0,0,7.0
2018-09-27 09:00:00,15,15.0,0.0,0,7.0
2018-09-25 11:00:00,14,14.0,0.0,0,7.5
2018-09-26 17:00:00,15,15.0,0.0,0,7.0
2018-10-31 18:00:00,15,15.0,0.0,0,7.0
2018-10-30 12:00:00,15,15.0,1.0,0,7.0
2018-10-31 13:00:00,15,15.0,1.0,0,7.0
2018-10-29 17:00:00,15,15.0,0.0,0,7.0
2018-10-30 13:00:00,15,15.0,1.0,0,7.0
2018-11-28 07:00:00,15,15.0,0.0,0,7.0
2018-11-30 05:00:00,8,9.0,0.0,0,8.5
2018-11-29 11:00:00,15,15.0,0.0,0,7.0
2018-11-30 11:00:00,12,13.0,0.0,0,8.5
2018-11-28 09:00:00,15,15.0,0.0,0,7.0
2018-11-13 19:00:00,15,16.0,0.0,0,7.0
2018-11-13 10:00:00,15,16.0,1.0,0,7.0
2018-11-14 14:00:00,15,16.0,1.0,0,7.0
2018-11-12 13:00:00,15,15.0,1.0,0,7.0
2018-11-14 12:00:00,15,16.0,1.0,0,7.0
2018-09-03 06:00:00,15,15.0,0.0,0,7.0
2018-09-03 05:00:00,9,9.0,0.0,0,7.0
2018-09-02 19:00:00,12,13.0,0.0,0,8.5
2018-09-03 20:00:00,15,16.0,0.0,0,7.0
2018-09-03 08:00:00,15,15.0,0.0,0,7.0
2018-09-05 06:00:00,15,0.0,0.0,0,7.0
2018-09-05 16:00:00,15,0.0,0.0,0,7.0
2018-09-05 12:00:00,15,0.0,0.0,0,7.0
2018-09-05 11:00:00,15,0.0,0.0,0,7.0
2018-09-06 07:00:00,15,15.0,0.0,0,7.0
2018-09-06 09:00:00,15,15.0,0.0,0,7.0
2018-09-07 12:00:00,15,15.0,0.0,0,7.0
2018-09-09 06:00:00,12,13.0,0.0,0,8.5
2018-09-08 13:00:00,12,13.0,0.0,0,8.5
2018-09-08 10:00:00,12,12.0,0.0,0,8.5
2018-09-09 13:00:00,12,13.0,0.0,0,8.5
2018-09-22 07:00:00,12,13.0,0.0,0,8.5
2018-09-22 12:00:00,12,13.0,0.0,0,8.5
2018-09-25 06:00:00,12,12.0,0.0,0,8.5
2018-09-24 17:00:00,14,14.0,0.0,0,7.5
2018-09-24 08:00:00,13,13.0,0.0,0,8.0
2018-09-25 08:00:00,13,13.0,0.0,0,8.0
2018-09-27 07:00:00,14,14.0,0.0,0,7.5
2018-09-26 10:00:00,15,15.0,0.0,0,7.0
2018-09-27 19:00:00,15,15.0,0.0,0,7.0
2018-09-28 06:00:00,15,15.0,0.0,0,7.0
2018-09-28 18:00:00,15,15.0,0.0,0,7.0
2018-09-28 11:00:00,15,15.0,0.0,0,7.0
2018-09-28 09:00:00,14,14.0,0.0,0,7.5
2018-09-29 15:00:00,12,14.0,0.0,0,8.5
2018-09-29 10:00:00,12,13.0,0.0,0,8.5
2018-10-01 05:00:00,11,13.0,0.0,0,8.0
2018-09-30 18:00:00,12,13.0,0.0,0,8.5
2018-10-01 07:00:00,15,15.0,0.0,0,7.0
2018-10-01 06:00:00,14,14.0,0.0,0,7.5
2018-09-30 11:00:00,12,13.0,0.0,0,8.5
2018-10-02 06:00:00,15,15.0,0.0,0,7.0
2018-10-01 12:00:00,15,16.0,0.0,0,7.0
2018-10-03 05:00:00,7,7.0,0.0,0,8.0
2018-10-03 06:00:00,14,14.0,0.0,0,7.0
2018-10-02 12:00:00,15,16.0,0.0,0,7.0
2018-10-04 05:00:00,7,9.0,0.0,0,8.0
2018-10-03 20:00:00,15,15.0,0.0,0,7.0
2018-10-04 09:00:00,15,16.0,0.0,0,7.0
2018-10-04 11:00:00,15,15.0,0.0,0,7.0
2018-10-05 05:00:00,13,13.0,0.0,0,8.0
2018-10-06 07:00:00,12,12.0,0.0,0,8.5
2018-10-06 06:00:00,11,11.0,0.0,0,9.0
2018-10-05 12:00:00,15,16.0,0.0,0,7.0
2018-10-07 07:00:00,12,12.0,0.0,0,8.5
2018-10-07 06:00:00,12,12.0,0.0,0,8.5
2018-10-06 12:00:00,12,13.0,0.0,0,8.5
2018-10-06 18:00:00,12,12.0,0.0,0,8.5
2018-10-06 11:00:00,12,13.0,0.0,0,8.5
2018-10-06 10:00:00,12,13.0,0.0,0,8.5
2018-10-07 13:00:00,12,12.0,0.0,0,8.5
2018-10-08 05:00:00,10,11.0,0.0,0,7.0
2018-10-07 11:00:00,12,12.0,0.0,0,8.5
2018-10-07 10:00:00,12,12.0,0.0,0,8.5
2018-10-09 06:00:00,13,13.0,0.0,0,8.0
2018-10-08 11:00:00,15,15.0,0.0,0,7.0
2018-10-09 05:00:00,7,7.0,0.0,0,8.0
2018-10-08 18:00:00,15,15.0,0.0,0,7.0
2018-10-10 05:00:00,7,7.0,0.0,0,8.0
2018-10-10 07:00:00,15,15.0,0.0,0,7.0
2018-10-09 17:00:00,15,15.0,0.0,0,7.0
2018-10-10 06:00:00,13,13.0,0.0,0,8.0
2018-10-11 05:00:00,13,13.0,0.0,0,8.0
2018-10-10 17:00:00,15,16.0,0.0,0,7.0
2018-10-10 14:00:00,15,16.0,0.0,0,7.0
2018-10-12 06:00:00,15,15.0,0.0,0,7.0
2018-10-11 12:00:00,15,15.0,0.0,0,7.0
2018-10-11 09:00:00,13,13.0,0.0,0,8.0
2018-10-12 05:00:00,13,14.0,0.0,0,7.0
2018-10-11 11:00:00,14,14.0,0.0,0,7.5
2018-10-12 18:00:00,15,15.0,0.0,0,7.0
2018-10-12 12:00:00,15,16.0,0.0,0,7.0
2018-10-13 05:00:00,6,6.0,0.0,0,8.5
2018-10-14 05:00:00,9,12.0,0.0,0,8.5
2018-10-13 18:00:00,12,15.0,0.0,0,8.5
2018-10-15 07:00:00,15,15.0,0.0,0,7.0
2018-10-14 19:00:00,12,14.0,0.0,0,8.5
2018-10-15 05:00:00,9,9.0,0.0,0,8.0
2018-10-15 13:00:00,15,15.0,0.0,0,7.0
2018-10-16 07:00:00,15,16.0,0.0,0,7.0
2018-10-16 06:00:00,14,14.0,0.0,0,7.5
2018-10-15 11:00:00,15,15.0,0.0,0,7.0
2018-10-16 05:00:00,8,8.0,0.0,0,7.0
2018-10-17 05:00:00,7,7.0,0.0,0,8.0
2018-10-16 16:00:00,15,16.0,0.0,0,7.0
2018-10-16 10:00:00,15,15.0,0.0,0,7.0
2018-10-17 21:00:00,15,15.0,0.0,0,7.0
2018-10-18 06:00:00,13,13.0,0.0,0,8.0
2018-10-17 11:00:00,15,16.0,0.0,0,7.0
2018-10-18 19:00:00,15,16.0,0.0,0,7.0
2018-10-19 05:00:00,7,7.0,0.0,0,8.0
2018-10-18 15:00:00,15,15.0,0.0,0,7.0
2018-10-20 07:00:00,12,13.0,0.0,0,8.5
2018-10-19 10:00:00,15,16.0,0.0,0,7.0
2018-10-20 05:00:00,10,13.0,0.0,0,8.5
2018-10-20 20:00:00,12,15.0,0.0,0,8.5
2018-10-21 05:00:00,12,13.0,0.0,0,8.5
2018-10-21 16:00:00,12,13.0,0.0,0,8.5
2018-10-22 05:00:00,9,9.0,0.0,0,8.0
2018-10-22 07:00:00,15,15.0,0.0,0,7.0
2018-10-21 10:00:00,12,13.0,0.0,0,8.5
2018-10-22 14:00:00,15,16.0,0.0,0,7.0
2018-10-23 05:00:00,7,7.0,0.0,0,8.0
2018-10-24 05:00:00,8,8.0,0.0,0,8.0
2018-10-23 11:00:00,15,15.0,0.0,0,7.0
2018-10-23 16:00:00,15,15.0,0.0,0,7.0
2018-10-24 07:00:00,15,16.0,0.0,0,7.0
2018-10-24 20:00:00,15,16.0,0.0,0,7.0
2018-10-25 05:00:00,8,8.0,0.0,0,8.0
2018-10-24 14:00:00,15,16.0,0.0,0,7.0
2018-10-25 18:00:00,15,16.0,0.0,0,7.0
2018-10-26 05:00:00,9,9.0,0.0,0,8.0
2018-10-26 12:00:00,15,16.0,0.0,0,7.0
2018-10-27 05:00:00,7,7.0,0.0,0,9.0
2018-10-26 20:00:00,15,16.0,0.0,0,7.0
2018-10-27 06:00:00,12,12.0,0.0,0,8.5
2018-10-27 14:00:00,12,13.0,1.0,0,8.5
2018-10-27 20:00:00,12,13.0,0.0,0,8.5
2018-10-28 05:00:00,7,7.0,0.0,0,9.0
2018-10-27 11:00:00,13,14.0,0.0,0,8.5
2018-10-28 14:00:00,12,13.0,1.0,0,8.5
2018-10-28 11:00:00,12,13.0,1.0,0,8.5
2018-10-28 18:00:00,12,13.0,0.0,0,8.5
2018-10-29 05:00:00,6,6.0,0.0,0,9.0
2018-10-29 21:00:00,15,16.0,0.0,0,7.0
2018-10-29 11:00:00,15,15.0,1.0,0,7.0
2018-10-30 05:00:00,9,9.0,0.0,0,8.0
2018-10-29 08:00:00,15,15.0,1.0,0,7.0
2018-10-30 09:00:00,15,15.0,1.0,0,7.0
2018-10-31 07:00:00,14,14.0,0.0,0,8.0
2018-10-31 05:00:00,7,7.0,0.0,0,8.0
2018-11-01 05:00:00,6,6.0,0.0,0,9.0
2018-10-31 10:00:00,15,15.0,1.0,0,7.0
2018-10-31 08:00:00,14,14.0,0.0,0,8.0
2018-11-01 18:00:00,12,13.0,0.0,0,8.5
2018-11-01 11:00:00,12,13.0,0.0,0,8.5
2018-11-03 06:00:00,12,13.0,0.0,0,8.5
2018-11-02 11:00:00,12,13.0,0.0,0,8.5
2018-11-04 06:00:00,12,12.0,0.0,0,8.5
2018-11-03 11:00:00,12,13.0,0.0,0,8.5
2018-11-05 06:00:00,15,16.0,0.0,0,7.0
2018-11-04 13:00:00,12,13.0,0.0,0,8.5
2018-11-05 15:00:00,15,15.0,0.0,0,7.0
2018-11-05 11:00:00,15,15.0,1.0,0,7.0
2018-11-07 05:00:00,9,9.0,0.0,0,7.0
2018-11-06 12:00:00,15,16.0,1.0,0,7.0
2018-11-06 10:00:00,15,15.0,1.0,0,7.0
2018-11-07 12:00:00,15,16.0,1.0,0,7.0
2018-11-07 11:00:00,15,16.0,1.0,0,7.0
2018-11-08 05:00:00,9,9.0,0.0,0,8.0
2018-11-09 05:00:00,8,8.0,0.0,0,8.0
2018-11-09 06:00:00,15,15.0,0.0,0,7.0
2018-11-08 12:00:00,15,16.0,1.0,0,7.0
2018-11-08 10:00:00,15,16.0,1.0,0,7.0
2018-11-09 14:00:00,15,16.0,1.0,0,7.0
2018-11-09 10:00:00,15,15.0,1.0,0,7.0
2018-11-10 05:00:00,12,12.0,0.0,0,8.5
2018-11-10 11:00:00,12,13.0,1.0,0,8.5
2018-11-10 18:00:00,12,13.0,1.0,0,8.5
2018-11-11 14:00:00,12,13.0,1.0,0,8.5
2018-11-11 10:00:00,12,12.0,1.0,0,8.5
2018-11-12 06:00:00,13,15.0,0.0,0,7.0
2018-11-13 05:00:00,9,9.0,0.0,0,7.0
2018-11-12 15:00:00,15,15.0,1.0,0,7.0
2018-11-12 10:00:00,15,15.0,0.0,0,7.0
2018-11-12 12:00:00,15,15.0,1.0,0,7.0
2018-11-14 05:00:00,14,14.0,0.0,0,7.5
2018-11-14 07:00:00,15,15.0,0.0,0,7.0
2018-11-14 15:00:00,15,16.0,0.0,0,7.0
2018-11-14 10:00:00,15,16.0,1.0,0,7.0
2018-11-15 05:00:00,14,15.0,0.0,0,7.0
2018-11-15 11:00:00,15,15.0,1.0,0,7.0
2018-11-15 09:00:00,15,15.0,1.0,0,7.0
2018-11-15 08:00:00,15,15.0,0.0,0,7.0
2018-11-15 12:00:00,15,16.0,1.0,0,7.0
2018-11-15 10:00:00,15,15.0,1.0,0,7.0
2018-11-16 06:00:00,13,13.0,0.0,0,8.0
2018-11-16 09:00:00,14,14.0,0.0,0,7.5
2018-11-16 10:00:00,14,14.0,1.0,0,7.5
2018-11-16 08:00:00,14,14.0,0.0,0,7.5
2018-11-16 11:00:00,15,15.0,1.0,0,7.0
2018-11-17 14:00:00,12,13.0,1.0,0,8.5
2018-11-17 12:00:00,12,13.0,1.0,0,8.5
2018-11-17 10:00:00,12,13.0,1.0,0,8.5
2018-11-18 18:00:00,12,13.0,1.0,0,8.5
2018-11-18 12:00:00,12,13.0,1.0,0,8.5
2018-11-18 10:00:00,12,13.0,1.0,0,8.5
2018-11-20 07:00:00,15,15.0,0.0,0,7.0
2018-11-20 20:00:00,14,14.0,0.0,0,8.0
2018-11-20 14:00:00,15,15.0,1.0,0,7.0
2018-11-21 06:00:00,13,13.0,0.0,0,8.0
2018-11-20 12:00:00,15,15.0,1.0,0,7.0
2018-11-21 11:00:00,15,16.0,1.0,0,7.0
2018-11-21 14:00:00,15,16.0,1.0,0,7.0
2018-11-22 06:00:00,15,16.0,0.0,0,7.0
2018-11-22 15:00:00,15,16.0,0.0,0,7.0
2018-11-23 07:00:00,15,16.0,0.0,0,7.0
2018-11-22 12:00:00,15,16.0,0.0,0,7.0
2018-11-22 11:00:00,15,16.0,0.0,0,7.0
2018-11-23 11:00:00,15,15.0,0.0,0,7.0
2018-11-23 20:00:00,15,15.0,0.0,0,7.0
2018-11-24 20:00:00,12,13.0,0.0,0,8.5
2018-11-24 12:00:00,12,13.0,0.0,0,8.5
2018-11-24 13:00:00,12,13.0,0.0,0,8.5
2018-11-24 10:00:00,12,13.0,0.0,0,8.5
2018-11-25 11:00:00,12,13.0,0.0,0,8.5
2018-11-25 13:00:00,12,13.0,0.0,0,8.5
2018-11-25 17:00:00,12,13.0,0.0,0,8.5
2018-11-25 10:00:00,12,13.0,0.0,0,8.5
2018-11-26 05:00:00,13,14.0,0.0,0,7.5
2018-11-26 07:00:00,15,15.0,0.0,0,7.0
2018-11-27 07:00:00,15,16.0,0.0,0,7.0
2018-11-27 05:00:00,15,15.0,0.0,0,7.0
2018-11-28 05:00:00,15,15.0,0.0,0,7.0
2018-11-27 11:00:00,15,15.0,0.0,0,7.0
2018-11-29 06:00:00,15,16.0,0.0,0,7.0
2018-11-28 18:00:00,15,16.0,0.0,0,7.0
2018-12-01 07:00:00,12,13.0,0.0,0,8.5
2018-11-30 18:00:00,12,13.0,0.0,0,8.5
2018-11-30 16:00:00,12,13.0,0.0,0,8.5
2018-11-30 13:00:00,12,13.0,0.0,0,8.5
2018-12-02 05:00:00,7,7.0,0.0,0,9.0
2018-12-01 10:00:00,12,13.0,0.0,0,8.5
2018-12-02 07:00:00,12,13.0,0.0,0,8.5
2018-12-01 13:00:00,12,13.0,0.0,0,8.5
2018-12-02 18:00:00,12,13.0,0.0,0,8.5
2018-12-02 10:00:00,12,13.0,0.0,0,8.5
2018-12-02 13:00:00,12,13.0,0.0,0,8.5
2018-12-02 12:00:00,12,13.0,0.0,0,8.5
2018-12-03 18:00:00,15,16.0,0.0,0,7.0
2018-12-03 12:00:00,15,16.0,0.0,0,7.0
2018-12-05 05:00:00,13,13.0,0.0,0,8.0
2018-12-05 06:00:00,13,13.0,0.0,0,8.0
2018-12-04 11:00:00,15,15.0,0.0,0,7.0
2018-12-07 06:00:00,14,14.0,0.0,0,7.5
2018-12-06 17:00:00,15,16.0,0.0,0,7.0
2018-12-06 16:00:00,15,16.0,0.0,0,7.0
2018-12-06 12:00:00,15,16.0,0.0,0,7.0
2018-12-07 17:00:00,15,16.0,0.0,0,7.0
2018-12-07 11:00:00,15,15.0,0.0,0,7.0
2018-12-07 12:00:00,15,16.0,0.0,0,7.0
2018-12-08 11:00:00,12,13.0,0.0,0,8.5
2018-12-09 07:00:00,12,12.0,0.0,0,8.5
2018-12-08 09:00:00,12,13.0,0.0,0,8.5
2018-12-08 12:00:00,12,13.0,0.0,0,8.5
2018-12-10 05:00:00,7,7.0,0.0,0,7.0
2018-12-09 12:00:00,12,13.0,0.0,0,8.5
2018-12-09 10:00:00,12,13.0,0.0,0,8.5
2018-12-10 10:00:00,15,15.0,0.0,0,7.0
2018-12-11 07:00:00,14,14.0,0.0,0,7.5
2018-12-11 06:00:00,14,14.0,0.0,0,7.5
2018-12-11 11:00:00,15,16.0,1.0,0,7.0
2018-12-11 14:00:00,15,15.0,1.0,0,7.0
2018-12-11 12:00:00,15,16.0,1.0,0,7.0
2018-12-11 20:00:00,15,15.0,0.0,0,7.0
2018-12-14 10:00:00,15,16.0,1.0,0,6.5
2018-12-14 20:00:00,15,15.0,0.0,0,7.0
2018-12-16 07:00:00,12,13.0,1.0,0,8.0
2018-12-16 19:00:00,12,13.0,1.0,0,8.0
2018-12-16 11:00:00,12,13.0,1.0,0,8.0
2018-12-16 12:00:00,12,13.0,1.0,0,8.0
2018-12-17 09:00:00,15,16.0,1.0,0,6.5
2018-12-17 17:00:00,15,16.0,1.0,0,6.5
2018-12-17 12:00:00,15,16.0,1.0,0,6.5
2018-12-19 07:00:00,15,16.0,1.0,0,6.5
2018-12-18 12:00:00,15,16.0,1.0,0,6.5
2018-12-18 11:00:00,15,16.0,1.0,0,6.5
2018-12-19 05:00:00,10,14.0,0.0,0,7.0
2018-12-20 07:00:00,15,16.0,1.0,0,6.5
2018-12-19 13:00:00,15,15.0,1.0,0,6.5
2018-12-19 12:00:00,15,15.0,1.0,0,6.5
2018-12-19 09:00:00,15,15.0,1.0,0,6.5
2018-12-20 19:00:00,15,15.0,1.0,0,6.5
2018-12-21 06:00:00,14,14.0,1.0,0,7.0
2018-12-21 07:00:00,15,16.0,1.0,0,6.5
2018-12-20 11:00:00,15,15.0,1.0,0,6.5
2018-12-21 20:00:00,15,16.0,1.0,0,6.5
2018-12-21 12:00:00,15,16.0,1.0,0,6.5
2018-12-21 11:00:00,15,16.0,1.0,0,6.5
2018-12-22 17:00:00,12,13.0,1.0,0,8.0
2018-12-22 11:00:00,12,13.0,1.0,0,8.0
2018-12-23 20:00:00,12,13.0,1.0,0,8.0
2018-12-23 12:00:00,12,13.0,1.0,0,8.0
2018-12-23 11:00:00,12,13.0,1.0,0,8.0
2018-12-25 07:00:00,12,12.0,0.0,0,8.5
2018-12-24 12:00:00,12,13.0,0.0,0,8.5
2018-12-24 11:00:00,12,13.0,0.0,0,8.5
2018-12-25 08:00:00,12,12.0,0.0,0,8.5
2018-12-26 06:00:00,14,14.0,0.0,0,7.5
2018-12-26 20:00:00,15,16.0,0.0,0,7.0
2018-12-26 10:00:00,15,15.0,0.0,0,7.0
2018-12-26 14:00:00,15,15.0,0.0,0,7.0
2018-12-27 19:00:00,15,16.0,0.0,0,7.0
2018-12-27 11:00:00,15,16.0,0.0,0,7.0
2018-12-27 12:00:00,15,16.0,0.0,0,7.0
2018-12-28 06:00:00,15,15.0,0.0,0,7.0
2018-12-28 20:00:00,15,16.0,0.0,0,7.0
2018-12-28 11:00:00,15,16.0,0.0,0,7.0
